FC Augsburg,2–2,0–4,2–3,2–1,2–2,2–0,3–1,1–2,1–0,3–1,0–0,0–2,3–0,0–0,2–1,4–2,1–0
Bayer Leverkusen,1–0,2–0,0–0,1–1,1–1,1–0,4–0,4–0,4–2,2–0,5–1,0–0,2–2,1–0,4–0,3–3,4–5
Bayern Munich,0–1,1–0,2–1,0–2,3–0,2–0,8–0,4–0,1–0,4–0,4–1,2–0,4–0,1–1,2–0,6–0,2–1
Borussia Dortmund,0–1,0–2,0–1,1–0,2–0,3–1,0–1,0–1,2–0,1–0,0–0,4–2,3–0,3–0,2–2,3–2,2–2
Borussia Mönchengladbach,1–3,3–0,0–0,3–1,1–3,1–0,1–0,2–0,3–2,3–1,1–0,1–1,2–0,4–1,1–1,4–1,1–0
Eintracht Frankfurt,0–1,2–1,0–4,2–0,0–0,1–0,2–1,2–2,4–4,3–1,3–2,2–2,4–0,1–0,4–5,5–2,1–1
SC Freiburg,2–0,0–0,2–1,0–3,0–0,4–1,0–0,2–2,2–2,1–1,1–0,2–3,1–2,2–0,1–4,0–1,1–2
Hamburger SV,3–2,1–0,0–0,0–0,1–1,1–2,1–1,2–1,0–1,1–1,0–2,2–1,0–3,2–0,0–1,2–0,0–2
Hannover 96,2–0,1–3,1–3,2–3,0–3,1–0,2–1,2–0,1–1,1–2,1–0,1–1,1–2,2–1,1–1,1–1,1–3
Hertha BSC,1–0,0–1,0–1,1–0,1–2,0–0,0–2,3–0,0–2,0–5,0–0,1–3,2–0,2–2,3–2,2–2,1–0
1899 Hoffenheim,2–0,0–1,0–2,1–1,1–4,3–2,3–3,3–0,4–3,2–1,3–4,2–0,1–0,2–1,2–1,1–2,1–1
1. FC Köln,1–2,1–1,0–2,2–1,0–0,4–2,0–1,0–0,1–1,1–2,3–2,0–0,0–0,2–0,0–0,1–1,2–2
Mainz 05,2–1,2–3,1–2,2–0,2–2,3–1,2–2,1–2,0–0,0–2,0–0,2–0,5–0,2–0,1–1,1–2,1–1
SC Paderborn,2–1,0–3,0–6,2–2,1–2,3–1,1–1,0–3,2–0,3–1,0–0,0–0,2–2,1–2,1–2,2–2,1–3
Schalke 04,1–0,0–1,1–1,2–1,1–0,2–2,0–0,0–0,1–0,2–0,3–1,1–2,4–1,1–0,3–2,1–1,3–2
VfB Stuttgart,0–1,3–3,0–2,2–3,0–1,3–1,2–2,2–1,1–0,0–0,0–2,0–2,2–0,0–0,0–4,3–2,0–4
Werder Bremen,3–2,2–1,0–4,2–1,0–2,1–0,1–1,1–0,3–3,2–0,1–1,0–1,0–0,4–0,0–3,2–0,3–5
VfL Wolfsburg,1–0,4–1,4–1,2–1,1–0,2–2,3–0,2–0,2–2,2–1,3–0,2–1,3–0,1–1,1–1,3–1,2–1
