Brighton & Hove Albion,Nottingham Forest,1,0
Cardiff City,Fulham,1,1
Leeds United,Burnley,1,1
Birmingham City,Reading,2,1
Bolton Wanderers,Derby County,0,0
Brentford,Ipswich Town,2,2
Blackburn Rovers,Wolverhampton Wanderers,1,2
Charlton Athletic,Queens Park Rangers,2,0
Rotherham United,Milton Keynes Dons,1,4
Hull City,Huddersfield Town,2,0
Sheffield Wednesday,Bristol City,2,0
Preston North End,Middlesbrough,0,0
Burnley,Birmingham City,2,2
Bristol City,Brentford,2,4
Derby County,Charlton Athletic,1,1
Middlesbrough,Bolton Wanderers,3,0
Huddersfield Town,Blackburn Rovers,1,1
Milton Keynes Dons,Preston North End,0,1
Fulham,Brighton & Hove Albion,1,2
Nottingham Forest,Rotherham United,2,1
Ipswich Town,Sheffield Wednesday,2,1
Queens Park Rangers,Cardiff City,2,2
Wolverhampton Wanderers,Hull City,1,1
Reading,Leeds United,0,0
Blackburn Rovers,Cardiff City,1,1
Milton Keynes Dons,Bolton Wanderers,1,0
Rotherham United,Preston North End,0,0
Huddersfield Town,Brighton & Hove Albion,1,1
Ipswich Town,Burnley,2,0
Derby County,Middlesbrough,1,1
Nottingham Forest,Charlton Athletic,0,0
Bristol City,Leeds United,2,2
Hull City,Fulham,2,1
Sheffield Wednesday,Reading,1,1
Wolverhampton Wanderers,Queens Park Rangers,2,3
Birmingham City,Derby County,1,1
Leeds United,Sheffield Wednesday,1,1
Brighton & Hove Albion,Blackburn Rovers,1,0
Bolton Wanderers,Nottingham Forest,1,1
Preston North End,Ipswich Town,1,2
Burnley,Brentford,1,0
Fulham,Huddersfield Town,1,1
Middlesbrough,Bristol City,0,1
Charlton Athletic,Hull City,2,1
Queens Park Rangers,Rotherham United,4,2
Reading,Milton Keynes Dons,0,0
Cardiff City,Wolverhampton Wanderers,2,0
Blackburn Rovers,Bolton Wanderers,0,0
Derby County,Leeds United,1,2
Bristol City,Burnley,1,2
Brentford,Reading,1,3
Milton Keynes Dons,Birmingham City,0,2
Huddersfield Town,Queens Park Rangers,0,1
Rotherham United,Fulham,1,3
Ipswich Town,Brighton & Hove Albion,2,3
Nottingham Forest,Cardiff City,1,2
Hull City,Preston North End,2,0
Sheffield Wednesday,Middlesbrough,1,3
Wolverhampton Wanderers,Charlton Athletic,2,1
Reading,Ipswich Town,5,1
Queens Park Rangers,Nottingham Forest,1,2
Birmingham City,Bristol City,4,2
Brighton & Hove Albion,Hull City,1,0
Bolton Wanderers,Wolverhampton Wanderers,2,1
Cardiff City,Huddersfield Town,2,0
Leeds United,Brentford,1,1
Preston North End,Derby County,1,2
Burnley,Sheffield Wednesday,3,1
Middlesbrough,Milton Keynes Dons,2,0
Charlton Athletic,Rotherham United,1,1
Fulham,Blackburn Rovers,2,1
