eng1,Manchester United,Newcastle United
eng1,West Ham United,AFC Bournmouth
eng1,Leicester City,Tottenham Hotspur
eng1,Sunderland,Swansea City
eng1,Crystal Palace,Aston Villa
eng1,Norwich City,Stoke City
eng2,Leeds United,Sheffield Wednesday
eng2,Brighton & Hove Albion,Blackburn Rovers
eng2,Bolton Wanderers,Nottingham Forest
eng2,Preston North End,Ipswich Town
eng2,Burnley,Brentford
eng2,Fulham,Huddersfield Town
eng2,Middlesbrough,Bristol City
eng2,Charlton Athletic,Hull City
eng2,Queens Park Rangers,Rotherham United
eng2,Reading,Milton Keynes Dons
eng2,Cardiff City,Wolverhampton Wanderers
esp1,Deportivo La Coruña,Real Sociedad
esp1,Espanyol,Getafe
esp1,Atlético Madrid,Las Palmas
esp1,Rayo Vallecano,Valencia
esp2,Llagostera,Osasuna
esp2,Alcorcón,Mallorca
esp2,Huesca,Alavés
esp2,Córdoba,Valladolid
ger1,Schalke 04,Darmstadt 98
ger1,Eintracht Frankfurt,FC Augsburg
ger1,1. FC Köln,VfL Wolfsburg
ger1,1899 Hoffenheim,Bayern Munich
ger1,Hannover 96,Bayer Leverkusen
ger1,Hamburger SV,VfB Stuttgart
ger2,Karlsruher SC,MSV Duisburg
ger2,Fortuna Düsseldorf,SC Freiburg
ita1,Hellas Verona,Roma
ita1,Lazio,Bologna
fra1,Lyon,Rennes
fra1,Nantes,Reims
fra1,Bastia,Guingamp
fra1,Gazelec Ajaccio,Angers
fra1,Nice,Caen
fra1,Toulouse,Monaco
por1,Sporting CP,Paços de Ferreira
por1,Marítimo,Porto
rus1,Amkar Perm,Spartak Moscow
rus1,CSKA Moscow,Rostov
rus1,Anzhi Makhachkala,Ural Sverdlovsk Oblast
